#{"t_start": 1749043248.6897776, "env_id": "Pendulum-v1"}
r,l,t
-620.328468,200,201.405901
-750.056223,200,201.618877
-620.07572,200,201.841488
-477.68065,200,202.063028
-512.665805,200,202.307174
-506.802892,200,202.529293
-616.80068,200,204.468313
-740.372171,200,205.657494
-623.685037,200,205.872268
-377.544588,200,206.085056
-512.469352,200,206.319435
-501.03792,200,206.544128
-613.944266,200,206.762474
-639.385512,200,206.972731
-508.752968,200,207.206393
-386.470402,200,207.411165
-761.938944,200,209.311252
-255.77735,200,209.538439
-510.743185,200,209.755806
-592.902626,200,209.976964
-383.688273,200,210.211501
-254.554292,200,210.440326
-379.812789,200,210.657854
-382.860454,200,210.883226
-434.622282,200,211.173657
-508.674181,200,211.39293
-500.284424,200,213.321442
-370.12583,200,213.544609
-779.52472,200,213.756979
-236.201218,200,213.971478
-129.4423,200,214.199718
-385.694844,200,214.416403
-251.352073,200,214.629692
-541.825999,200,214.848338
-500.829951,200,215.062109
-809.952035,200,215.290845
-748.952555,200,215.519106
-260.696765,200,217.577265
-378.821735,200,217.860277
-371.085756,200,218.102446
-254.440145,200,218.362531
-132.032147,200,218.65751
-365.148338,200,218.896838
-259.239397,200,219.112826
-126.091863,200,219.345141
-488.485554,200,219.584481
-128.181733,200,219.813714
-257.925973,200,221.790203
-254.991692,200,222.006715
-371.686456,200,222.235617
-129.118386,200,222.457714
-265.04203,200,222.667167
-124.382059,200,222.883312
-510.353712,200,223.093446
-142.746507,200,223.331506
-127.996227,200,223.546241
-240.290892,200,223.769461
-125.090905,200,225.78231
-126.686046,200,226.001147
-518.486992,200,226.223899
-1.119923,200,226.437602
-367.108229,200,226.648714
-132.478852,200,226.868107
-368.587761,200,227.074674
-380.15514,200,227.306776
-1.42385,200,227.520811
-377.799232,200,227.735241
-239.308908,200,229.696825
-251.834557,200,229.912633
-375.478229,200,230.139176
-3.347539,200,230.374345
-389.675417,200,230.591799
-132.778477,200,230.8059
-122.25016,200,231.030403
-357.341289,200,231.260927
-134.096419,200,231.479568
-253.531159,200,231.691249
-2.672573,200,231.910689
-524.679549,200,233.792713
-520.005272,200,234.008329
